ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,วันที่รายงาน,เวลาที่รายงาน,ACC_CODE,หน่วยงาน,สายทางหน่วยงาน,รหัสสายทาง,สายทาง,KM,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ
2025,45658,0.020833333,45659,0.2125,9966609,กรมทางหลวง,ทางหลวง,2440,บ้านใหม่ไชยพจน์ - ทางพาด,0.9,บุรีรัมย์,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,15.57484836,102.8326616,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2025,45658,0.020833333,45659,0.235416667,9995811,กรมทางหลวงชนบท,ทางหลวงชนบท,ลบ.4056,แยกทางหลวงหมายเลข 2340 (กม.ที่ 19+600) - บ้านประดู่งาม,8.05,ลพบุรี,รถจักรยานยนต์,ทางสี่แยก,ขับรถเร็วเกินอัตรากำหนด,,มืดครึ้ม,15.40246,100.972783,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.023611111,45658,0.822222222,9966285,กรมทางหลวง,ทางหลวง,3203,ทางเข้าโครงการพระราชประสงค์หุบกะพง,0.683,เพชรบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,ขับรถเร็วเกินอัตรากำหนด,ชนเป็นมุมบริเวณทางแยก,แจ่มใส,12.80947784,99.93766387,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.027777778,45660,0.308333333,9967423,กรมทางหลวง,ทางหลวง,3310,,8,นครปฐม,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,13.77644613,100.3281623,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,0.03125,45663,0.645138889,9969801,กรมทางหลวง,ทางหลวง,4326,เบตง - บ้านกม.17,2.46,,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,5.771293518,101.104454,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.041666667,45663,0.463888889,9969677,กรมทางหลวง,ทางหลวง,3271,เนินสูง - ด่านชุมพล,4.733,ตราด,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,12.28812585,102.6148923,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
2025,45658,0.041666667,45659,0.215972222,9995825,กรมทางหลวงชนบท,ทางหลวงชนบท,ชน.4052,แยกทางหลวงหมายเลข 3183 (กม.ที่ 18+350) - แยกทางหลวงหมายเลข 340 (กม.ที่ 152+068) (ตอน 11+100 - 45+323),42.55,สุพรรณบุรี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,14.95364,100.054923,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,0.041666667,45677,0.470833333,9995829,กรมทางหลวงชนบท,ทางหลวงชนบท,ลบ.5025,แยกทางหลวงชนบท ลบ.2134 (กม.ที่ 10+150) - บ้านเกาะรัง,0.1,เพชรบูรณ์,รถจักรยานยนต์,ทางตรง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด,,อื่นๆ,15.327459,101.212316,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2025,45658,0.0625,45659,0.7,9967007,กรมทางหลวง,ทางหลวง,1096,แม่ริม - ปางดะ,15.375,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,ชนท้าย,แจ่มใส,18.88809541,98.82950887,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2025,45658,0.063888889,45659,0.171527778,9966579,กรมทางหลวง,ทางหลวง,1192,อินทนนท์ - แม่แจ่ม,15.3,,รถจักรยานยนต์,ทางโค้งกว้าง+ที่ลาดชัน,เมาสุรา,,แจ่มใส,18.51724581,98.46356302,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,0.065972222,45705,0.608333333,9991441,กรมทางหลวง,ทางหลวง,34,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,28,สมุทรปราการ,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,อื่นๆ,แจ่มใส,13.58562795,100.8480459,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.067361111,45659,0.257638889,9966680,กรมทางหลวง,ทางหลวง,1070,ตะพานหิน - ไผ่ท่าโพ,2.8,พิจิตร,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,16.22409689,100.3852437,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2025,45658,0.069444444,45659,0.926388889,9967191,กรมทางหลวง,ทางหลวง,4003,สวี - บ่อคา,9.8,,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,10.23145957,99.17111233,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025,45658,0.083333333,45658,0.8375,9966369,กรมทางหลวง,ทางหลวง,1,ต่างระดับบางปะอิน - หนองแค,74.2,อยุธยา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.26807108,100.7906911,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025,45658,0.083333333,45659,0.884722222,9967141,กรมทางหลวง,ทางหลวง,403,ทุ่งสง - กะปาง,57.68,นครศรีธรรมราช,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,8.092193718,99.66403395,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1
2025,45658,0.083333333,45673,0.675694444,9995830,กรมทางหลวงชนบท,ทางหลวงชนบท,อด.4002,แยกทางหลวงหมายเลข 2096 (กม.ที่ 28+500) - บ้านสร้างคอม,37.02,อุดรธานี,รถจักรยานยนต์,ทางสามแยก (T),ขับรถเร็วเกินอัตรากำหนด,,แจ่มใส,17.787665,103.109352,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2025,45658,0.097222222,45660,0.688194444,9967743,กรมทางหลวง,ทางหลวง,3,หนองไม้แดง - ชลบุรี,89.922,ชลบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,13.39878589,100.9879938,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2025,45658,0.100694444,45659,0.242361111,9966647,กรมทางหลวง,ทางหลวง,3340,หนองเสม็ด - บ่อทอง,7.095,,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนท้าย,แจ่มใส,13.30906746,101.3321735,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2025,45658,0.104166667,45658,0.527777778,9995804,กรมทางหลวงชนบท,ทางหลวงชนบท,มค.3015,แยกทางหลวงหมายเลข 219 (กม.ที่ 17+190) - บ้านอีเม้ง,16.35,มหาสารคาม,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งอันตราย,,มืดครึ้ม,15.623033,103.217048,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
